Data,Jogo,Real,Previsto,Pontos,Tipo
2024-01-01,Japan vs Thailand,5 x 0,35 x 0,5,Gols de um time
2024-01-02,None vs None,0 x 1,1 x 1,5,Gols de um time
2024-01-04,None vs None,1 x 0,2 x 1,0,Errou
2024-01-04,Saudi Arabia vs Lebanon,1 x 0,31 x 0,5,Gols de um time
2024-01-05,None vs None,2 x 1,1 x 2,0,Errou
2024-01-05,Iran vs Burkina Faso,2 x 1,21 x 0,0,Errou
2024-01-05,Qatar vs Jordan,1 x 2,2 x 1,0,Errou
2024-01-06,Iraq vs South Korea,0 x 1,0 x 4,5,Gols de um time
2024-01-06,Bahrain vs Australia,0 x 2,0 x 5,5,Gols de um time
2024-01-07,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-01-08,Senegal vs Niger,1 x 0,43 x 0,5,Gols de um time
2024-01-09,Japan vs Jordan,6 x 1,4 x 1,5,Gols de um time
2024-01-09,Saudi Arabia vs Palestine,0 x 0,7 x 0,5,Gols de um time
2024-01-09,Indonesia vs Iran,0 x 5,0 x 12,5,Gols de um time
2024-01-10,Saudi Arabia vs Hong Kong,2 x 0,25 x 0,5,Gols de um time
2024-01-11,Morocco vs Sierra Leone,3 x 1,3 x 2,5,Gols de um time
2024-01-12,Qatar vs Lebanon,3 x 0,25 x 0,5,Gols de um time
2024-01-13,Australia vs India,2 x 0,85 x 0,5,Gols de um time
2024-01-14,Iran vs Palestine,4 x 1,11 x 0,0,Errou
2024-01-14,Japan vs Vietnam,4 x 2,33 x 0,0,Errou
2024-01-15,None vs None,2 x 1,2 x 1,20,Placar exato
2024-01-15,South Korea vs Bahrain,3 x 1,5 x 0,0,Errou
2024-01-15,Senegal vs Gambia,3 x 0,2 x 2,0,Errou
2024-01-16,Saudi Arabia vs Oman,2 x 1,3 x 0,0,Errou
2024-01-17,None vs None,0 x 0,1 x 1,0,Errou
2024-01-17,Qatar vs Tajikistan,1 x 0,27 x 0,5,Gols de um time
2024-01-17,Morocco vs Tanzania,3 x 0,116 x 0,5,Gols de um time
2024-01-18,Syria vs Australia,0 x 1,0 x 16,5,Gols de um time
2024-01-19,None vs None,0 x 0,1 x 1,0,Errou
2024-01-19,Hong Kong vs Iran,0 x 1,0 x 37,5,Gols de um time
2024-01-19,Iraq vs Japan,2 x 1,0 x 4,0,Errou
2024-01-19,Senegal vs Cameroon,3 x 1,9 x 0,0,Errou
2024-01-20,Jordan vs South Korea,2 x 2,1 x 3,0,Errou
2024-01-20,United States vs Slovenia,0 x 1,4 x 0,0,Errou
2024-01-21,None vs None,1 x 1,1 x 1,20,Placar exato
2024-01-21,Kyrgyzstan vs Saudi Arabia,0 x 2,0 x 7,5,Gols de um time
2024-01-21,Morocco vs DR Congo,1 x 1,5 x 0,0,Errou
2024-01-22,Qatar vs China PR,1 x 0,7 x 0,5,Gols de um time
2024-01-23,Australia vs Uzbekistan,1 x 1,6 x 0,0,Errou
