home_strength,away_strength,strength_diff,home_category,away_category,matchup_type,home_attack,away_attack,attack_diff,home_defense,away_defense,defense_diff,home_fifa,away_fifa,fifa_diff,score,home_goals,away_goals,goal_diff,total_goals,result
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,2x2,2,2,0,4,D
8.1,59.0,-50.9,Muito Fraca,Média,Muito Fraca vs Média,0.92,1.42,-0.4999999999999999,1.98,0.9,1.08,1410.0,1675.75,-265.75,0x1,0,1,-1,1,A
36.3,59.0,-22.700000000000003,Fraca,Média,Fraca vs Média,1.61,1.42,0.19000000000000017,1.23,0.9,0.32999999999999996,1540.43,1675.75,-135.31999999999994,0x1,0,1,-1,1,A
73.4,63.7,9.700000000000003,Forte,Forte,Forte vs Forte,1.98,1.8,0.17999999999999994,0.46,0.64,-0.18,1736.56,1684.86,51.700000000000045,0x1,0,1,-1,1,A
8.1,36.3,-28.199999999999996,Muito Fraca,Fraca,Muito Fraca vs Fraca,0.92,1.61,-0.6900000000000001,1.98,1.23,0.75,1410.0,1540.43,-130.43000000000006,1x1,1,1,0,2,D
31.4,19.0,12.399999999999999,Fraca,Muito Fraca,Fraca vs Muito Fraca,1.66,1.27,0.3899999999999999,1.05,1.26,-0.20999999999999996,1500.0,1440.0,60.0,0x1,0,1,-1,1,A
42.3,44.7,-2.4000000000000057,Média,Média,Média vs Média,1.56,1.56,0.0,0.69,0.91,-0.22000000000000008,1556.72,1581.56,-24.839999999999918,0x0,0,0,0,0,D
63.7,42.3,21.400000000000006,Forte,Média,Forte vs Média,1.8,1.56,0.24,0.64,0.69,-0.04999999999999993,1684.86,1556.72,128.13999999999987,1x0,1,0,1,1,H
73.4,44.7,28.700000000000003,Forte,Média,Forte vs Média,1.98,1.56,0.41999999999999993,0.46,0.91,-0.45,1736.56,1581.56,155.0,0x0,0,0,0,0,D
31.4,44.7,-13.300000000000004,Fraca,Média,Fraca vs Média,1.66,1.56,0.09999999999999987,1.05,0.91,0.14,1500.0,1581.56,-81.55999999999995,0x2,0,2,-2,2,A
42.3,31.4,10.899999999999999,Média,Fraca,Média vs Fraca,1.56,1.66,-0.09999999999999987,0.69,1.05,-0.3600000000000001,1556.72,1500.0,56.72000000000003,3x2,3,2,1,5,H
31.4,63.7,-32.300000000000004,Fraca,Forte,Fraca vs Forte,1.66,1.8,-0.14000000000000012,1.05,0.64,0.41000000000000003,1500.0,1684.86,-184.8599999999999,0x1,0,1,-1,1,A
73.4,28.9,44.50000000000001,Forte,Fraca,Forte vs Fraca,1.98,1.38,0.6000000000000001,0.46,0.83,-0.36999999999999994,1736.56,1482.39,254.16999999999985,2x0,2,0,2,2,H
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,1x0,1,0,1,1,H
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,3x0,3,0,3,3,H
42.3,31.4,10.899999999999999,Média,Fraca,Média vs Fraca,1.56,1.66,-0.09999999999999987,0.69,1.05,-0.3600000000000001,1556.72,1500.0,56.72000000000003,3x1,3,1,2,4,H
44.7,31.4,13.300000000000004,Média,Fraca,Média vs Fraca,1.56,1.66,-0.09999999999999987,0.91,1.05,-0.14,1581.56,1500.0,81.55999999999995,4x0,4,0,4,4,H
73.4,31.4,42.00000000000001,Forte,Fraca,Forte vs Fraca,1.98,1.66,0.32000000000000006,0.46,1.05,-0.5900000000000001,1736.56,1500.0,236.55999999999995,1x0,1,0,1,1,H
31.4,28.9,2.5,Fraca,Fraca,Fraca vs Fraca,1.66,1.38,0.28,1.05,0.83,0.22000000000000008,1500.0,1482.39,17.6099999999999,1x2,1,2,-1,3,A
63.7,31.4,32.300000000000004,Forte,Fraca,Forte vs Fraca,1.8,1.66,0.14000000000000012,0.64,1.05,-0.41000000000000003,1684.86,1500.0,184.8599999999999,3x1,3,1,2,4,H
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,1x1,1,1,0,2,D
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,1x3,1,3,-2,4,A
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,0x2,0,2,-2,2,A
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,2x3,2,3,-1,5,A
31.4,28.9,2.5,Fraca,Fraca,Fraca vs Fraca,1.66,1.38,0.28,1.05,0.83,0.22000000000000008,1500.0,1482.39,17.6099999999999,1x2,1,2,-1,3,A
31.4,44.7,-13.300000000000004,Fraca,Média,Fraca vs Média,1.66,1.56,0.09999999999999987,1.05,0.91,0.14,1500.0,1581.56,-81.55999999999995,1x3,1,3,-2,4,A
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,1x1,1,1,0,2,D
31.4,63.7,-32.300000000000004,Fraca,Forte,Fraca vs Forte,1.66,1.8,-0.14000000000000012,1.05,0.64,0.41000000000000003,1500.0,1684.86,-184.8599999999999,0x3,0,3,-3,3,A
73.4,31.4,42.00000000000001,Forte,Fraca,Forte vs Fraca,1.98,1.66,0.32000000000000006,0.46,1.05,-0.5900000000000001,1736.56,1500.0,236.55999999999995,3x0,3,0,3,3,H
31.4,31.4,0.0,Fraca,Fraca,Fraca vs Fraca,1.66,1.66,0.0,1.05,1.05,0.0,1500.0,1500.0,0.0,0x0,0,0,0,0,D
31.4,42.3,-10.899999999999999,Fraca,Média,Fraca vs Média,1.66,1.56,0.09999999999999987,1.05,0.69,0.3600000000000001,1500.0,1556.72,-56.72000000000003,0x0,0,0,0,0,D
